State,day_of_week,hour_of_day,total_accidents,high_severity_accidents
DE,3,12,28,1
DE,3,13,38,1
DE,3,14,31,1
DE,3,15,18,1
DE,3,16,32,3
DE,3,17,52,1
DE,3,18,28,1
DE,3,19,32,0
DE,3,20,24,1
DE,3,21,16,1
DE,3,22,11,2
DE,4,4,42,3
DE,4,5,34,2
DE,4,6,85,4
DE,4,7,180,6
DE,4,8,250,9
DE,4,9,39,2
DE,4,10,94,3
DE,4,11,117,5
DE,4,12,30,2
DE,4,13,39,2
DE,4,14,29,0
DE,4,15,27,2
DE,4,16,42,1
DE,4,17,64,5
DE,4,18,58,2
DE,4,19,51,0
DE,4,20,36,2
DE,4,21,9,2
DE,4,22,23,3
DE,5,0,2,2
DE,5,6,1,0
DE,5,7,5,1
DE,5,8,6,0
DE,5,9,10,4
DE,5,10,7,2
DE,5,11,6,0
DE,5,12,9,3
DE,5,13,11,3
DE,5,14,4,1
DE,5,15,13,8
DE,5,16,4,2
DE,5,17,8,1
DE,5,18,15,2
DE,5,19,5,0
DE,5,20,3,1
DE,5,21,4,1
DE,5,22,2,1
DE,6,7,5,2
DE,6,8,5,2
DE,6,9,5,2
DE,6,10,10,2
DE,6,11,8,1
DE,6,12,9,3
DE,6,13,13,3
DE,6,14,7,2
DE,6,15,5,2
DE,6,16,4,2
DE,6,17,5,2
DE,6,18,7,4
DE,6,19,6,2
DE,6,20,11,4
DE,6,21,2,0
DE,6,22,5,2
FL,0,0,8,8
FL,0,1,9,9
FL,0,2,21,14
FL,0,3,85,14
FL,0,4,1937,553
FL,0,5,2048,590
FL,0,6,5062,1289
FL,0,7,6973,1551
FL,0,8,7565,1640
FL,0,9,3237,908
FL,0,10,2372,698
FL,0,11,2284,674
FL,0,12,1913,624
FL,0,13,1807,719
FL,0,14,1861,690
FL,0,15,1882,842
FL,0,16,2301,960
FL,0,17,2523,1015
FL,0,18,2043,860
FL,0,19,1562,632
FL,0,20,1254,496
FL,0,21,686,354
FL,0,22,541,286
FL,0,23,60,38
FL,1,0,7,6
FL,1,1,3,2
FL,1,2,14,13
FL,1,3,86,9
FL,1,4,1551,413
FL,1,5,1710,447
FL,1,6,5162,1184
FL,1,7,8133,1769
FL,1,8,8602,1842
FL,1,9,3370,929
FL,1,10,2373,717
FL,1,11,2318,656
FL,1,12,1990,580
FL,1,13,1763,621
FL,1,14,1853,702
FL,1,15,1667,713
FL,1,16,2372,971
FL,1,17,2530,980
FL,1,18,2003,837
FL,1,19,1490,617
FL,1,20,1272,516
FL,1,21,749,360
FL,1,22,547,283
FL,1,23,51,36
FL,2,0,6,6
FL,2,1,10,7
FL,2,2,5,4
FL,2,3,96,11
FL,2,4,1685,436
FL,2,5,1869,465
FL,2,6,5155,1189
FL,2,7,7793,1631
FL,2,8,8193,1668
FL,2,9,3360,951
FL,2,10,2408,739
FL,2,11,2288,632
FL,2,12,1974,646
FL,2,13,1729,583
FL,2,14,1766,647
FL,2,15,1692,772
FL,2,16,2277,895
FL,2,17,2516,997
FL,2,18,2167,883
FL,2,19,1480,633
FL,2,20,1245,491
FL,2,21,746,371
FL,2,22,545,287
FL,2,23,43,34
FL,3,0,8,6
FL,3,1,10,6
FL,3,2,5,3
FL,3,3,80,9
FL,3,4,1837,477
FL,3,5,1867,511
FL,3,6,5010,1108
FL,3,7,7413,1546
FL,3,8,7731,1618
FL,3,9,3108,886
FL,3,10,2342,725
FL,3,11,2247,645
FL,3,12,2049,652
FL,3,13,1781,650
FL,3,14,1863,694
FL,3,15,1721,769
FL,3,16,2402,970
FL,3,17,2498,1017
FL,3,18,2128,904
FL,3,19,1514,659
FL,3,20,1285,526
FL,3,21,753,363
FL,3,22,575,333
FL,3,23,35,26
FL,4,0,3,3
FL,4,1,9,9
FL,4,2,5,5
FL,4,3,101,21
FL,4,4,2018,558
FL,4,5,2050,598
FL,4,6,4715,1168
FL,4,7,6679,1442
FL,4,8,6759,1370
FL,4,9,2893,842
FL,4,10,2258,703
FL,4,11,2378,746
FL,4,12,2053,709
FL,4,13,1917,841
FL,4,14,1971,814
FL,4,15,1990,913
FL,4,16,2652,1180
FL,4,17,2592,1119
FL,4,18,2037,876
FL,4,19,1659,764
FL,4,20,1469,732
FL,4,21,857,472
FL,4,22,700,414
FL,4,23,84,53
FL,5,0,19,15
FL,5,1,10,10
FL,5,2,9,9
FL,5,3,7,5
FL,5,4,6,6
FL,5,5,8,8
FL,5,6,30,22
FL,5,7,762,505
FL,5,8,593,335
FL,5,9,892,471
FL,5,10,927,544
FL,5,11,1022,574
FL,5,12,1030,606
FL,5,13,1103,634
FL,5,14,1065,620
FL,5,15,1024,649
FL,5,16,1071,675
FL,5,17,620,447
FL,5,18,567,393
FL,5,19,672,471
FL,5,20,500,345
FL,5,21,451,313
FL,5,22,421,314
FL,5,23,24,20
FL,6,0,15,13
FL,6,1,13,12
FL,6,2,15,13
FL,6,3,10,8
FL,6,4,7,7
FL,6,5,11,10
FL,6,6,27,21
FL,6,7,718,510
FL,6,8,462,289
FL,6,9,590,351
FL,6,10,673,391
FL,6,11,761,450
FL,6,12,883,546
FL,6,13,918,599
FL,6,14,925,589
FL,6,15,945,642
FL,6,16,960,663
FL,6,17,583,394
FL,6,18,630,412
FL,6,19,683,463
FL,6,20,446,324
FL,6,21,431,294
FL,6,22,429,315
FL,6,23,28,24
GA,0,0,5,4
GA,0,1,5,4
GA,0,2,6,6
GA,0,3,13,11
GA,0,4,376,196
GA,0,5,461,235
GA,0,6,1120,581
GA,0,7,1741,676
GA,0,8,1691,610
GA,0,9,680,408
GA,0,10,765,355
GA,0,11,667,312
GA,0,12,802,405
GA,0,13,613,403
GA,0,14,666,480
GA,0,15,733,537
GA,0,16,1010,677
GA,0,17,1089,727
GA,0,18,873,562
GA,0,19,701,435
GA,0,20,470,294
GA,0,21,231,182
GA,0,22,199,166
GA,0,23,36,31
GA,1,0,12,10
GA,1,1,4,4
GA,1,2,15,14
GA,1,3,19,14
GA,1,4,376,183
GA,1,5,486,209
GA,1,6,1173,590
GA,1,7,2076,844
GA,1,8,2044,727
GA,1,9,798,487
GA,1,10,1004,483
GA,1,11,727,369
GA,1,12,837,407
GA,1,13,651,439
GA,1,14,678,458
GA,1,15,747,521
GA,1,16,1096,742
GA,1,17,1157,737
GA,1,18,911,611
GA,1,19,690,446
GA,1,20,495,296
GA,1,21,292,229
GA,1,22,226,185
GA,1,23,23,22
GA,2,0,9,8
GA,2,1,8,8
GA,2,2,11,10
GA,2,3,28,16
GA,2,4,430,236
GA,2,5,415,191
GA,2,6,1271,605
GA,2,7,2062,779
GA,2,8,1944,708
GA,2,9,804,513
GA,2,10,963,461
GA,2,11,702,358
GA,2,12,860,406
GA,2,13,607,422
GA,2,14,661,487
GA,2,15,777,538
GA,2,16,1048,711
GA,2,17,1116,699
GA,2,18,928,587
GA,2,19,764,486
GA,2,20,567,373
GA,2,21,275,211
GA,2,22,251,198
GA,2,23,27,22
GA,3,0,11,11
GA,3,1,2,2
GA,3,2,4,4
GA,3,3,21,13
GA,3,4,423,217
GA,3,5,454,227
GA,3,6,1212,593
GA,3,7,1847,701
GA,3,8,1918,651
GA,3,9,748,460
GA,3,10,907,457
GA,3,11,691,336
GA,3,12,836,428
GA,3,13,625,466
GA,3,14,710,521
GA,3,15,716,530
GA,3,16,1109,768
GA,3,17,1214,737
GA,3,18,931,571
GA,3,19,776,494
GA,3,20,608,371
GA,3,21,295,236
GA,3,22,257,216
GA,3,23,33,26
GA,4,0,9,9
GA,4,1,3,3
GA,4,2,5,5
GA,4,3,11,8
GA,4,4,486,265
GA,4,5,425,222
GA,4,6,1030,528
GA,4,7,1694,663
GA,4,8,1606,585
GA,4,9,678,414
GA,4,10,877,434
GA,4,11,810,442
GA,4,12,983,528
GA,4,13,741,543
GA,4,14,820,615
GA,4,15,886,657
GA,4,16,1121,791
GA,4,17,1087,713
GA,4,18,1045,698
GA,4,19,881,599
GA,4,20,637,428
GA,4,21,353,291
GA,4,22,315,259
GA,4,23,29,24
GA,5,0,10,7
GA,5,1,1,1
GA,5,2,2,2
GA,5,3,12,12
GA,5,4,8,8
GA,5,5,10,10
GA,5,6,6,6
GA,5,7,329,288
GA,5,8,267,227
GA,5,9,331,271
GA,5,10,367,280
GA,5,11,457,368
GA,5,12,596,488
GA,5,13,560,455
GA,5,14,578,496
GA,5,15,589,516
GA,5,16,573,497
GA,5,17,403,359
GA,5,18,414,374
GA,5,19,397,340
GA,5,20,339,289
GA,5,21,324,282
GA,5,22,260,233
GA,5,23,6,6
GA,6,0,6,6
GA,6,1,8,8
GA,6,2,10,10
GA,6,3,9,8
GA,6,4,9,9
GA,6,5,4,4
GA,6,6,14,14
GA,6,7,286,241
GA,6,8,188,153
GA,6,9,231,177
GA,6,10,250,220
GA,6,11,373,311
GA,6,12,409,318
GA,6,13,466,392
GA,6,14,518,431
GA,6,15,530,473
GA,6,16,466,417
GA,6,17,353,320
GA,6,18,382,348
GA,6,19,320,294
GA,6,20,274,245
GA,6,21,261,225
GA,6,22,203,186
GA,6,23,4,4
IA,0,1,2,2
IA,0,2,2,2
IA,0,3,18,10
IA,0,4,43,22
IA,0,5,61,19
IA,0,6,167,50
IA,0,7,270,98
IA,0,8,165,105
IA,0,9,89,54
IA,0,10,72,37
IA,0,11,62,36
IA,0,12,71,51
IA,0,13,80,61
IA,0,14,54,36
IA,0,15,102,56
IA,0,16,222,113
IA,0,17,285,156
IA,0,18,157,75
IA,0,19,67,57
IA,0,20,36,30
IA,0,21,17,14
IA,0,22,16,11
IA,0,23,5,5
IA,1,2,2,1
IA,1,3,1,1
IA,1,4,39,9
IA,1,5,70,31
IA,1,6,157,61
IA,1,7,294,100
IA,1,8,152,91
IA,1,9,105,62
IA,1,10,80,38
IA,1,11,57,36
IA,1,12,64,45
IA,1,13,51,37
IA,1,14,42,29
IA,1,15,112,69
IA,1,16,194,112
IA,1,17,275,142
IA,1,18,169,83
IA,1,19,52,35
IA,1,20,34,24
IA,1,21,18,17
IA,1,22,12,9
IA,1,23,3,3
IA,2,2,1,1
IA,2,3,11,8
IA,2,4,48,25
IA,2,5,61,25
IA,2,6,164,52
IA,2,7,249,94
IA,2,8,128,76
IA,2,9,96,63
IA,2,10,72,45
IA,2,11,57,28
IA,2,12,87,62
IA,2,13,79,50
IA,2,14,54,34
IA,2,15,113,72
IA,2,16,199,107
IA,2,17,309,152
IA,2,18,210,97
IA,2,19,64,48
IA,2,20,34,26
IA,2,21,20,13
IA,2,22,18,13
IA,2,23,3,2
IA,3,0,3,3
IA,3,2,8,8
IA,3,3,9,9
IA,3,4,40,21
IA,3,5,75,27
IA,3,6,143,43
IA,3,7,240,90
IA,3,8,126,75
IA,3,9,113,77
IA,3,10,81,41
IA,3,11,73,41
IA,3,12,80,56
IA,3,13,59,36
IA,3,14,47,32
IA,3,15,120,66
IA,3,16,248,148
IA,3,17,299,161
IA,3,18,174,95
IA,3,19,55,41
IA,3,20,28,17
IA,3,21,19,15
IA,3,22,12,10
IA,3,23,2,2
IA,4,1,1,0
IA,4,3,11,6
IA,4,4,44,19
IA,4,5,58,31
IA,4,6,158,42
IA,4,7,242,67
IA,4,8,115,63
IA,4,9,103,61
IA,4,10,86,38
IA,4,11,73,43
IA,4,12,73,54
IA,4,13,93,75
IA,4,14,53,39
IA,4,15,135,96
IA,4,16,262,163
IA,4,17,327,174
IA,4,18,194,97
IA,4,19,59,44
IA,4,20,33,25
IA,4,21,31,25
IA,4,22,15,12
IA,4,23,1,1
IA,5,1,1,1
IA,5,2,2,2
IA,5,3,2,2
IA,5,5,1,1
IA,5,6,35,33
IA,5,7,41,36
IA,5,8,51,42
IA,5,9,47,36
IA,5,10,57,43
IA,5,11,56,46
IA,5,12,53,35
IA,5,13,61,47
IA,5,14,45,39
IA,5,15,54,43
IA,5,16,38,31
IA,5,17,26,18
IA,5,18,36,23
IA,5,19,27,21
IA,5,20,28,24
IA,5,21,11,6
IA,5,22,3,2
IA,6,2,1,1
IA,6,5,2,2
IA,6,6,35,32
IA,6,7,29,21
IA,6,8,22,19
IA,6,9,37,29
IA,6,10,50,39
IA,6,11,59,54
IA,6,12,51,42
IA,6,13,55,42
IA,6,14,41,29
IA,6,15,60,50
IA,6,16,34,25
IA,6,17,33,26
IA,6,18,35,30
IA,6,19,19,16
IA,6,20,21,18
IA,6,21,25,17
IA,6,22,11,9
IA,6,23,1,1
ID,0,0,2,1
ID,0,1,1,1
ID,0,5,3,2
ID,0,6,1,0
ID,0,7,6,2
ID,0,8,7,4
ID,0,9,2,2
ID,0,10,1,0
ID,0,11,2,1
ID,0,12,1,1
ID,0,13,1,1
ID,0,15,1,0
ID,0,17,1,0
ID,0,18,1,1
ID,0,19,2,0
ID,0,20,2,1
ID,0,23,1,1
ID,1,0,3,3
ID,1,1,2,2
ID,1,4,1,0
ID,1,6,3,3
ID,1,7,9,1
ID,1,8,9,3
ID,1,9,6,5
ID,1,10,1,1
ID,1,11,1,1
ID,1,15,1,1
ID,1,16,2,1
ID,1,17,3,3
ID,1,18,2,2
ID,1,19,1,1
ID,1,23,1,1
ID,2,0,1,1
ID,2,1,1,1
ID,2,2,2,1
ID,2,3,1,1
ID,2,4,1,0
ID,2,5,2,0
ID,2,6,4,1
ID,2,7,7,3
ID,2,8,7,5
ID,2,9,6,3
ID,2,11,1,0
ID,2,12,2,1
ID,2,14,1,0
ID,2,15,5,2
ID,2,16,2,2
ID,2,17,2,2
ID,2,22,2,2
ID,3,0,1,0
ID,3,1,1,1
ID,3,2,1,1
ID,3,4,1,1
ID,3,5,3,3
ID,3,6,5,1
ID,3,7,4,3
ID,3,8,11,4
ID,3,9,1,0
ID,3,13,2,2
ID,3,14,1,1
ID,3,15,2,0
ID,3,16,1,1
ID,3,19,2,1
ID,4,0,4,3
ID,4,2,6,6
ID,4,3,1,1
ID,4,6,4,1
ID,4,7,5,2
ID,4,8,9,2
ID,4,10,2,2
ID,4,11,2,0
ID,4,12,4,2
ID,4,13,4,2
ID,4,14,1,1
ID,4,15,1,0
ID,4,16,5,4
ID,4,17,2,2
ID,4,18,1,1
ID,4,20,3,2
ID,4,21,2,2
ID,4,22,1,1
ID,5,12,1,0
ID,5,13,1,1
ID,5,16,1,0
ID,6,9,2,0
ID,6,10,1,0
ID,6,11,2,2
ID,6,23,1,0
IL,0,0,58,49
IL,0,1,42,41
IL,0,2,40,35
IL,0,3,250,112
IL,0,4,570,235
IL,0,5,758,292
IL,0,6,1469,431
IL,0,7,2346,547
IL,0,8,2494,590
IL,0,9,832,245
IL,0,10,833,277
IL,0,11,814,284
IL,0,12,530,154
IL,0,13,528,148
IL,0,14,506,169
IL,0,15,1113,398
IL,0,16,1254,367
IL,0,17,969,295
IL,0,18,1043,331
IL,0,19,533,192
IL,0,20,363,172
IL,0,21,220,157
IL,0,22,211,137
IL,0,23,42,36
IL,1,0,47,41
IL,1,1,43,41
IL,1,2,49,45
IL,1,3,231,107
IL,1,4,461,196
IL,1,5,653,289
IL,1,6,1572,468
IL,1,7,2687,666
IL,1,8,2979,730
IL,1,9,903,271
IL,1,10,890,294
IL,1,11,839,274
IL,1,12,460,93
IL,1,13,514,131
IL,1,14,510,139
IL,1,15,1101,404
IL,1,16,1211,378
IL,1,17,1009,283
IL,1,18,1071,335
IL,1,19,561,192
IL,1,20,341,175
IL,1,21,220,141
IL,1,22,179,122
IL,1,23,68,54
IL,2,0,64,57
IL,2,1,68,60
IL,2,2,47,44
IL,2,3,264,132
IL,2,4,512,255
IL,2,5,774,344
IL,2,6,1655,578
IL,2,7,2561,681
IL,2,8,2738,682
IL,2,9,901,252
IL,2,10,943,332
IL,2,11,861,337
IL,2,12,503,126
IL,2,13,533,148
IL,2,14,509,130
IL,2,15,1080,386
IL,2,16,1232,354
IL,2,17,1003,273
IL,2,18,1040,347
IL,2,19,509,161
IL,2,20,297,126
IL,2,21,200,134
IL,2,22,166,109
IL,2,23,63,55
IL,3,0,60,56
IL,3,1,45,43
IL,3,2,43,38
IL,3,3,260,134
IL,3,4,491,227
IL,3,5,712,313
IL,3,6,1418,425
IL,3,7,2346,608
IL,3,8,2542,591
IL,3,9,809,265
IL,3,10,822,289
IL,3,11,887,294
IL,3,12,485,102
IL,3,13,521,148
IL,3,14,487,150
IL,3,15,1061,343
IL,3,16,1179,354
IL,3,17,923,252
IL,3,18,944,314
IL,3,19,557,195
IL,3,20,319,143
IL,3,21,197,120
IL,3,22,173,129
IL,3,23,55,43
IL,4,0,58,56
IL,4,1,79,68
IL,4,2,78,74
IL,4,3,285,150
IL,4,4,672,314
IL,4,5,730,345
IL,4,6,1347,472
IL,4,7,2106,521
IL,4,8,2347,576
IL,4,9,749,208
IL,4,10,878,299
IL,4,11,891,299
IL,4,12,562,154
IL,4,13,640,207
IL,4,14,514,163
IL,4,15,1018,369
IL,4,16,1273,435
IL,4,17,924,307
IL,4,18,1033,342
IL,4,19,540,214
IL,4,20,347,181
IL,4,21,219,158
IL,4,22,183,123
IL,4,23,72,54
IL,5,0,92,71
IL,5,1,90,79
IL,5,2,106,93
IL,5,3,96,81
IL,5,4,104,90
IL,5,5,97,87
IL,5,6,308,291
IL,5,7,242,223
IL,5,8,246,211
IL,5,9,279,237
IL,5,10,267,223
IL,5,11,352,298
IL,5,12,338,280
IL,5,13,414,359
IL,5,14,247,184
IL,5,15,226,173
IL,5,16,186,134
IL,5,17,172,137
IL,5,18,152,125
IL,5,19,148,123
IL,5,20,132,99
IL,5,21,109,80
IL,5,22,127,85
IL,5,23,131,79
IL,6,0,109,91
IL,6,1,122,108
IL,6,2,106,89
IL,6,3,111,97
IL,6,4,136,125
IL,6,5,98,87
IL,6,6,331,315
IL,6,7,229,211
IL,6,8,212,187
IL,6,9,229,202
IL,6,10,208,176
IL,6,11,247,214
IL,6,12,294,266
IL,6,13,351,316
IL,6,14,214,162
IL,6,15,219,168
IL,6,16,175,128
IL,6,17,188,148
IL,6,18,136,120
IL,6,19,150,126
IL,6,20,120,98
IL,6,21,125,90
IL,6,22,67,44
IL,6,23,84,57
IN,0,0,1,1
IN,0,1,3,3
IN,0,2,3,3
IN,0,3,11,11
IN,0,4,148,41
IN,0,5,217,62
IN,0,6,470,127
IN,0,7,875,199
IN,0,8,893,196
IN,0,9,222,67
IN,0,10,299,76
IN,0,11,238,73
IN,0,12,208,86
IN,0,13,150,89
IN,0,14,181,100
IN,0,15,174,102
IN,0,16,449,176
IN,0,17,406,180
IN,0,18,235,107
IN,0,19,129,76
IN,0,20,54,46
IN,0,21,42,35
IN,0,22,24,21
IN,0,23,9,8
IN,1,0,3,2
IN,1,1,1,1
IN,1,2,1,1
IN,1,3,8,8
IN,1,4,170,72
IN,1,5,230,57
IN,1,6,546,127
IN,1,7,978,225
IN,1,8,1050,222
IN,1,9,262,104
IN,1,10,248,68
IN,1,11,246,71
IN,1,12,199,80
IN,1,13,150,80
IN,1,14,187,119
IN,1,15,190,130
IN,1,16,456,200
IN,1,17,463,217
IN,1,18,276,128
IN,1,19,133,70
IN,1,20,78,64
IN,1,21,57,48
IN,1,22,28,26
IN,1,23,3,3
IN,2,0,4,1
IN,2,1,3,3
IN,2,2,4,3
IN,2,3,14,12
IN,2,4,184,60
IN,2,5,291,84
IN,2,6,601,149
IN,2,7,1155,288
IN,2,8,984,202
IN,2,9,290,94
IN,2,10,288,76
IN,2,11,242,76
IN,2,12,242,96
IN,2,13,173,98
IN,2,14,144,94
IN,2,15,195,137
IN,2,16,402,204
IN,2,17,425,222
IN,2,18,313,161
IN,2,19,131,78
IN,2,20,60,47
IN,2,21,41,36
IN,2,22,26,23
IN,2,23,2,2
IN,3,1,2,2
IN,3,2,1,1
IN,3,3,18,14
IN,3,4,175,62
IN,3,5,221,85
IN,3,6,519,145
IN,3,7,983,267
IN,3,8,844,190
IN,3,9,263,94
IN,3,10,254,76
IN,3,11,234,79
IN,3,12,210,97
IN,3,13,146,98
IN,3,14,167,101
IN,3,15,201,148
IN,3,16,451,237
IN,3,17,445,224
IN,3,18,301,170
IN,3,19,152,85
IN,3,20,89,65
IN,3,21,58,53
IN,3,22,27,21
IN,3,23,4,2
IN,4,0,2,2
IN,4,1,1,1
IN,4,3,13,13
IN,4,4,157,56
IN,4,5,251,80
IN,4,6,498,129
IN,4,7,848,192
IN,4,8,797,149
IN,4,9,299,106
IN,4,10,241,57
IN,4,11,262,82
IN,4,12,253,94
IN,4,13,222,102
IN,4,14,265,145
IN,4,15,301,184
IN,4,16,513,246
IN,4,17,509,254
IN,4,18,375,209
IN,4,19,197,100
IN,4,20,92,67
IN,4,21,64,52
IN,4,22,58,40
IN,4,23,6,6
IN,5,0,3,3
IN,5,1,1,1
IN,5,2,1,1
IN,5,3,2,2
IN,5,4,1,1
IN,5,5,3,3
IN,5,6,14,14
IN,5,7,83,77
IN,5,8,73,65
IN,5,9,64,54
IN,5,10,88,77
IN,5,11,92,84
IN,5,12,91,85
IN,5,13,89,80
IN,5,14,93,86
IN,5,15,99,91
IN,5,16,72,67
IN,5,17,88,83
IN,5,18,90,86
IN,5,19,58,54
IN,5,20,49,47
IN,5,21,51,49
IN,5,22,44,41
IN,5,23,2,2
IN,6,0,1,1
IN,6,1,1,1
IN,6,3,2,2
IN,6,4,1,1
IN,6,5,1,1
IN,6,6,8,8
IN,6,7,59,57
IN,6,8,59,56
IN,6,9,71,65
IN,6,10,69,66
IN,6,11,83,75
IN,6,12,71,66
IN,6,13,93,90
IN,6,14,92,87
IN,6,15,99,95
IN,6,16,96,93
IN,6,17,79,77
IN,6,18,69,67
IN,6,19,59,55
IN,6,20,45,42
IN,6,21,45,43
IN,6,22,23,23
IN,6,23,1,1
KS,0,0,1,1
KS,0,4,15,7
KS,0,5,25,14
KS,0,6,89,56
KS,0,7,166,92
KS,0,8,161,104
KS,0,9,49,38
KS,0,10,60,43
KS,0,11,46,36
KS,0,12,36,29
KS,0,13,22,21
KS,0,14,27,23
KS,0,15,57,48
KS,0,16,75,63
KS,0,17,104,91
KS,0,18,43,38
KS,0,19,22,19
KS,0,20,16,12
KS,0,21,9,7
KS,0,22,15,14
KS,1,1,1,1
KS,1,3,3,3
KS,1,4,17,12
KS,1,5,27,16
KS,1,6,89,55
KS,1,7,193,106
KS,1,8,193,119
KS,1,9,51,35
KS,1,10,60,38
KS,1,11,31,24
KS,1,12,27,19
KS,1,13,18,16
KS,1,14,20,18
KS,1,15,63,49
KS,1,16,65,55
KS,1,17,90,76
KS,1,18,66,53
KS,1,19,18,16
KS,1,20,21,18
KS,1,21,10,10
KS,1,22,9,8
KS,2,0,1,1
KS,2,1,1,1
KS,2,4,22,12
KS,2,5,26,11
KS,2,6,80,35
KS,2,7,213,107
KS,2,8,215,119
KS,2,9,58,43
KS,2,10,53,37
KS,2,11,33,27
KS,2,12,23,14
KS,2,13,29,26
KS,2,14,30,26
KS,2,15,58,51
KS,2,16,81,70
KS,2,17,89,75
KS,2,18,80,62
KS,2,19,29,28
KS,2,20,12,11
KS,2,21,8,5
KS,2,22,15,13
KS,3,4,32,24
KS,3,5,25,14
KS,3,6,88,47
KS,3,7,141,89
KS,3,8,156,90
KS,3,9,53,38
KS,3,10,42,29
KS,3,11,43,24
KS,3,12,27,18
KS,3,13,27,21
KS,3,14,38,32
KS,3,15,51,42
KS,3,16,74,61
KS,3,17,92,76
KS,3,18,68,58
KS,3,19,34,28
KS,3,20,26,23
KS,3,21,12,10
KS,3,22,8,7
KS,4,3,1,1
KS,4,4,14,11
KS,4,5,30,19
KS,4,6,66,36
KS,4,7,114,65
KS,4,8,95,53
KS,4,9,40,28
KS,4,10,32,22
KS,4,11,35,26
KS,4,12,21,20
KS,4,13,31,26
KS,4,14,34,27
KS,4,15,52,42
KS,4,16,78,66
KS,4,17,61,52
KS,4,18,58,46
KS,4,19,29,25
KS,4,20,13,12
KS,4,21,22,19
KS,4,22,12,10
KS,4,23,1,1
KS,5,0,3,3
KS,5,2,2,2
KS,5,5,2,2
KS,5,6,17,15
KS,5,7,25,19
KS,5,8,36,31
KS,5,9,26,19
KS,5,10,28,23
KS,5,11,26,22
KS,5,12,31,29
KS,5,13,41,31
KS,5,14,45,34
KS,5,15,48,40
KS,5,16,15,11
KS,5,17,17,10
KS,5,18,27,20
KS,5,19,14,11
KS,5,20,9,7
KS,5,21,16,15
KS,5,22,2,2
KS,5,23,2,2
KS,6,3,1,1
KS,6,4,1,1
KS,6,6,17,14
KS,6,7,13,11
KS,6,8,36,29
KS,6,9,34,27
KS,6,10,21,14
KS,6,11,24,19
KS,6,12,22,21
KS,6,13,36,30
KS,6,14,32,31
KS,6,15,22,16
KS,6,16,16,14
KS,6,17,13,11
KS,6,18,18,16
KS,6,19,13,13
KS,6,20,18,13
KS,6,21,14,9
KS,6,22,3,1
KY,0,1,2,2
KY,0,2,1,1
KY,0,4,113,57
KY,0,5,164,59
KY,0,6,329,109
KY,0,7,670,211
KY,0,8,707,202
KY,0,9,189,93
KY,0,10,166,87
KY,0,11,164,74
KY,0,12,86,51
KY,0,13,154,86
KY,0,14,143,84
KY,0,15,86,61
KY,0,16,423,191
KY,0,17,397,174
KY,0,18,165,120
KY,0,19,60,41
KY,0,20,61,45
KY,0,21,46,36
KY,0,22,55,49
KY,0,23,44,28
KY,1,0,1,1
KY,1,2,3,2
KY,1,3,1,0
KY,1,4,91,38
KY,1,5,175,71
KY,1,6,340,110
KY,1,7,871,264
KY,1,8,806,257
KY,1,9,199,111
KY,1,10,167,83
KY,1,11,159,73
KY,1,12,81,49
KY,1,13,134,67
KY,1,14,123,83
KY,1,15,88,67
KY,1,16,429,218
KY,1,17,476,231
KY,1,18,156,122
KY,1,19,78,66
KY,1,20,62,48
KY,1,21,51,41
